quadrant,teams,best_host,teams_within_proximity,is_tie,tie_broken_by_seed,other_potential_hosts
Quadrant 1,"Bowdoin, Amherst, McMurry, Wartburg",Bowdoin,1,True,True,Amherst
Quadrant 1,"Bowdoin, Amherst, McMurry, Gustavus Adolphus",Bowdoin,1,True,True,Amherst
Quadrant 1,"Bowdoin, Amherst, TX Lutheran, Wartburg",Bowdoin,1,True,True,Amherst
Quadrant 1,"Bowdoin, Amherst, TX Lutheran, Gustavus Adolphus",Bowdoin,1,True,True,Amherst
Quadrant 1,"Bowdoin, Smith, McMurry, Wartburg",Bowdoin,1,True,True,Smith
Quadrant 1,"Bowdoin, Smith, McMurry, Gustavus Adolphus",Bowdoin,1,True,True,Smith
Quadrant 1,"Bowdoin, Smith, TX Lutheran, Wartburg",Bowdoin,1,True,True,Smith
Quadrant 1,"Bowdoin, Smith, TX Lutheran, Gustavus Adolphus",Bowdoin,1,True,True,Smith
Quadrant 1,"Cortland, Amherst, McMurry, Wartburg",Amherst,1,True,True,Cortland
Quadrant 1,"Cortland, Amherst, McMurry, Gustavus Adolphus",Amherst,1,True,True,Cortland
Quadrant 1,"Cortland, Amherst, TX Lutheran, Wartburg",Amherst,1,True,True,Cortland
Quadrant 1,"Cortland, Amherst, TX Lutheran, Gustavus Adolphus",Amherst,1,True,True,Cortland
Quadrant 1,"Cortland, Smith, McMurry, Wartburg",Smith,1,True,True,Cortland
Quadrant 1,"Cortland, Smith, McMurry, Gustavus Adolphus",Smith,1,True,True,Cortland
Quadrant 1,"Cortland, Smith, TX Lutheran, Wartburg",Smith,1,True,True,Cortland
Quadrant 1,"Cortland, Smith, TX Lutheran, Gustavus Adolphus",Smith,1,True,True,Cortland
Quadrant 2,"Illinois Wesleyan, UW-Oshkosh, Ohio Wesleyan, Washington & Lee",Ohio Wesleyan,3,False,False,
Quadrant 2,"Illinois Wesleyan, UW-Oshkosh, Ohio Wesleyan, Baldwin Wallace",Ohio Wesleyan,3,False,False,
Quadrant 2,"Illinois Wesleyan, UW-Oshkosh, Washington & Jefferson, Washington & Lee",UW-Oshkosh,1,True,True,"Washington & Lee, Washington & Jefferson"
Quadrant 2,"Illinois Wesleyan, UW-Oshkosh, Washington & Jefferson, Baldwin Wallace",Baldwin Wallace,2,False,False,
Quadrant 2,"Illinois Wesleyan, Bethel, Ohio Wesleyan, Washington & Lee",Ohio Wesleyan,2,False,False,
Quadrant 2,"Illinois Wesleyan, Bethel, Ohio Wesleyan, Baldwin Wallace",Baldwin Wallace,2,True,True,Ohio Wesleyan
Quadrant 2,"Illinois Wesleyan, Bethel, Washington & Jefferson, Washington & Lee",Bethel,1,True,True,"Washington & Lee, Washington & Jefferson"
Quadrant 2,"Illinois Wesleyan, Bethel, Washington & Jefferson, Baldwin Wallace",Baldwin Wallace,2,False,False,
Quadrant 2,"Trine, UW-Oshkosh, Ohio Wesleyan, Washington & Lee",Ohio Wesleyan,3,False,False,
Quadrant 2,"Trine, UW-Oshkosh, Ohio Wesleyan, Baldwin Wallace",Ohio Wesleyan,3,True,True,Trine
Quadrant 2,"Trine, UW-Oshkosh, Washington & Jefferson, Washington & Lee",Trine,2,True,True,Washington & Jefferson
Quadrant 2,"Trine, UW-Oshkosh, Washington & Jefferson, Baldwin Wallace",Trine,3,False,False,
Quadrant 2,"Trine, Bethel, Ohio Wesleyan, Washington & Lee",Ohio Wesleyan,2,False,False,
Quadrant 2,"Trine, Bethel, Ohio Wesleyan, Baldwin Wallace",Baldwin Wallace,2,True,True,"Ohio Wesleyan, Trine"
Quadrant 2,"Trine, Bethel, Washington & Jefferson, Washington & Lee",Washington & Jefferson,2,False,False,
Quadrant 2,"Trine, Bethel, Washington & Jefferson, Baldwin Wallace",Baldwin Wallace,2,True,True,"Trine, Washington & Jefferson"
Quadrant 3,"NYU, Montclair St., Elizabethtown, W New England",Elizabethtown,3,True,True,"W New England, Montclair St."
Quadrant 3,"NYU, Montclair St., Elizabethtown, Gettysburg",Gettysburg,3,True,True,"Elizabethtown, Montclair St."
Quadrant 3,"NYU, Montclair St., Randolph-Macon, W New England",Randolph-Macon,3,True,True,"W New England, Montclair St."
Quadrant 3,"NYU, Montclair St., Randolph-Macon, Gettysburg",Gettysburg,3,True,True,"Randolph-Macon, Montclair St."
Quadrant 3,"NYU, Geneseo St., Elizabethtown, W New England",Elizabethtown,3,True,True,"W New England, Geneseo St."
Quadrant 3,"NYU, Geneseo St., Elizabethtown, Gettysburg",Gettysburg,3,True,True,"Elizabethtown, Geneseo St."
Quadrant 3,"NYU, Geneseo St., Randolph-Macon, W New England",Randolph-Macon,3,True,True,"W New England, Geneseo St."
Quadrant 3,"NYU, Geneseo St., Randolph-Macon, Gettysburg",Gettysburg,3,True,True,"Randolph-Macon, Geneseo St."
Quadrant 3,"Trinity (Conn), Montclair St., Elizabethtown, W New England",Elizabethtown,3,True,True,"W New England, Trinity (Conn), Montclair St."
Quadrant 3,"Trinity (Conn), Montclair St., Elizabethtown, Gettysburg",Gettysburg,3,True,True,"Elizabethtown, Trinity (Conn), Montclair St."
Quadrant 3,"Trinity (Conn), Montclair St., Randolph-Macon, W New England",Randolph-Macon,3,True,True,"W New England, Trinity (Conn), Montclair St."
Quadrant 3,"Trinity (Conn), Montclair St., Randolph-Macon, Gettysburg",Gettysburg,3,True,True,"Randolph-Macon, Trinity (Conn), Montclair St."
Quadrant 3,"Trinity (Conn), Geneseo St., Elizabethtown, W New England",Elizabethtown,3,True,True,"W New England, Trinity (Conn), Geneseo St."
Quadrant 3,"Trinity (Conn), Geneseo St., Elizabethtown, Gettysburg",Gettysburg,3,True,True,"Elizabethtown, Trinity (Conn), Geneseo St."
Quadrant 3,"Trinity (Conn), Geneseo St., Randolph-Macon, W New England",Randolph-Macon,3,True,True,"W New England, Trinity (Conn), Geneseo St."
Quadrant 3,"Trinity (Conn), Geneseo St., Randolph-Macon, Gettysburg",Gettysburg,3,True,True,"Randolph-Macon, Trinity (Conn), Geneseo St."
Quadrant 4,"Whitman, UW-Whitewater, Johns Hopkins, Bates",Whitman,0,True,True,"UW-Whitewater, Johns Hopkins, Bates"
Quadrant 4,"Whitman, UW-Whitewater, Johns Hopkins, Scranton",Scranton,1,True,True,Johns Hopkins
Quadrant 4,"Whitman, UW-Whitewater, Carnegie Mellon, Bates",Whitman,0,True,True,"UW-Whitewater, Carnegie Mellon, Bates"
Quadrant 4,"Whitman, UW-Whitewater, Carnegie Mellon, Scranton",Scranton,1,True,True,Carnegie Mellon
Quadrant 4,"Whitman, UW-La Crosse, Johns Hopkins, Bates",Whitman,0,True,True,"Johns Hopkins, Bates, UW-La Crosse"
Quadrant 4,"Whitman, UW-La Crosse, Johns Hopkins, Scranton",Scranton,1,True,True,Johns Hopkins
Quadrant 4,"Whitman, UW-La Crosse, Carnegie Mellon, Bates",Whitman,0,True,True,"Carnegie Mellon, Bates, UW-La Crosse"
Quadrant 4,"Whitman, UW-La Crosse, Carnegie Mellon, Scranton",Scranton,1,True,True,Carnegie Mellon
Quadrant 4,"UW-Stout, UW-Whitewater, Johns Hopkins, Bates",UW-Whitewater,1,True,True,UW-Stout
Quadrant 4,"UW-Stout, UW-Whitewater, Johns Hopkins, Scranton",Scranton,1,True,True,"UW-Whitewater, Johns Hopkins, UW-Stout"
Quadrant 4,"UW-Stout, UW-Whitewater, Carnegie Mellon, Bates",UW-Whitewater,1,True,True,UW-Stout
Quadrant 4,"UW-Stout, UW-Whitewater, Carnegie Mellon, Scranton",Scranton,1,True,True,"UW-Whitewater, Carnegie Mellon, UW-Stout"
Quadrant 4,"UW-Stout, UW-La Crosse, Johns Hopkins, Bates",UW-Stout,1,True,True,UW-La Crosse
Quadrant 4,"UW-Stout, UW-La Crosse, Johns Hopkins, Scranton",Scranton,1,True,True,"Johns Hopkins, UW-Stout, UW-La Crosse"
Quadrant 4,"UW-Stout, UW-La Crosse, Carnegie Mellon, Bates",UW-Stout,1,True,True,UW-La Crosse
Quadrant 4,"UW-Stout, UW-La Crosse, Carnegie Mellon, Scranton",Scranton,1,True,True,"Carnegie Mellon, UW-Stout, UW-La Crosse"
